콘텐츠제목,주소,대표이미지(원본),대표이미지(썸네일),콘텐츠ID,콘텐츠타입ID,교과서속여행지,상세주소,대분류,중분류,소분류,저작권유형,GPSX좌표,GPSY좌표 ,MAP레벨,등록일,수정일,전화번호,지역코드,시군구코드
배알도해수욕장,전라남도 광양시 태인동 1630-1,,,2778033,12,0,,A01,A0101,A01011200,,127.7586661229,34.9599548059,6,20211123193107,20250316122232,,38,4
배낭기미해수욕장,전라남도 신안군 흑산면 진리 586-18,,,2723809,12,0,,A01,A0101,A01011200,,125.4265562784,34.6891078527,6,20210630003259,20250315150244,,38,12
인구해수욕장,강원특별자치도 양양군 현남면 인구항길 12,,,2704932,12,0,,A01,A0101,A01011200,,128.7619443329,37.9703129545,6,20210201223200,20250315144529,,32,7
물치해수욕장,강원특별자치도 양양군 강현면 물치리,,,2704383,12,0,,A01,A0101,A01011200,,128.6083247601,38.1537553201,6,20210121011713,20250315134413,,32,7
송전해수욕장,강원특별자치도 양양군 손양면 송전리,,,125704,12,0,,A01,A0101,A01011200,,128.6590248255,38.0932550080,6,20030710090000,20250315133938,,32,7
무창포해수욕장,충청남도 보령시 웅천읍 열린바다1길 10,,,125841,12,0,,A01,A0101,A01011200,,126.5365469039,36.2445351993,6,20031205090000,20250312164625,,34,5
일산해수욕장(울산),울산광역시 동구 해수욕장10길 18,,,126091,12,0,(일산동),A01,A0101,A01011200,,129.4302000587,35.4949278551,6,20030707090000,20250312145125,,7,3
명장섬해수욕장 (장고도),충청남도 보령시 오천면 삽시도리,,,2783140,12,0,,A01,A0101,A01011200,,126.3457238871,36.4014250582,6,20211130010658,20250306171432,,34,5
독산해수욕장(홀뫼해수욕장),충청남도 보령시 웅천읍 열린바다로 585,,,129583,12,0,,A01,A0101,A01011200,,126.5316701118,36.2234764178,6,20070712090000,20250306162004,,34,5
임랑해수욕장,부산광역시 기장군 장안읍 임랑리,,,1939570,12,0,,A01,A0101,A01011200,,129.2620863763,35.3160142193,6,20140807024556,20250305110832,,6,3
신덕해수욕장 / 신덕해변,전라남도 여수시 신덕2길 16-9,,,2752501,12,0,(신덕동),A01,A0101,A01011200,,127.7668829067,34.8189735425,6,20211001210532,20250121143016,,38,13
원안해수욕장,충청남도 태안군 근흥면 용도로 410-110,,,2758242,12,0,,A01,A0101,A01011200,,126.2367869517,36.7033884424,6,20211018234557,20250121141858,,34,14
오포리해수욕장,경상북도 영덕군 강구면 오포리,,,2756132,12,0,,A01,A0101,A01011200,,129.3884288919,36.3565464319,6,20211013191328,20241211144740,,35,12
선녀바위해수욕장,인천광역시 중구 선녀바위로 60,,,129255,12,0,,A01,A0101,A01011200,,126.3786292754,37.4403360870,6,20060926090000,20241205150607,,2,10
용한 1리 해수욕장,경상북도 포항시 북구 흥해읍 영일만항로 33,,,2736413,12,0,,A01,A0101,A01011200,,129.4229384772,36.1150383600,6,20210825195008,20241203173416,,35,23
조사리간이해수욕장,경상북도 포항시 북구 송라면 조사리 348-1,,,2756533,12,0,,A01,A0101,A01011200,,129.3809750017,36.2273415020,6,20211013222506,20241203173018,,35,23
동개해수욕장,전라남도 신안군 흑산면 가거도리,,,3012090,12,,,A01,A0101,A01011200,,125.1316467172,34.0494863560,6,20230905184238,20241126091922,,38,12
신창 간이 해수욕장,경상북도 포항시 남구 장기면 신창리,,,2736409,12,0,,A01,A0101,A01011200,,129.5130425914,35.8923430278,6,20210825194659,20241104161227,,35,23
오도1리해수욕장,경상북도 포항시 북구 흥해읍 오도리314-1,,,2732554,12,0,,A01,A0101,A01011200,,129.3984255773,36.1550166976,6,20210810234217,20241104154317,,35,23
용두해수욕장,충청남도 보령시 남포면 열린바다로 82-45,,,129641,12,0,,A01,A0101,A01011200,,126.5428681503,36.2602057335,6,20070807090000,20241016195301,,34,5
땅끝송호해수욕장,전라남도 해남군 송지면 땅끝해안로 1827,,,126302,12,0,,A01,A0101,A01011200,,126.5190463327,34.3143479503,6,20030707090000,20241015152959,,38,23
연대도 해수욕장,경상남도 통영시 산양읍,,,2022592,12,0,,A01,A0101,A01011200,,128.3962218561,34.7339413464,6,20150805024724,20240920140902,,36,17
증산해변(증산 해수욕장),강원특별자치도 삼척시 증산동,,,127727,12,0,,A01,A0101,A01011200,,129.1606210205,37.4746447041,6,20060510090000,20240828134630,,32,4
중문색달해수욕장,제주특별자치도 서귀포시 색달동,,,126449,12,1,,A01,A0101,A01011200,,126.4112108397,33.2454289066,6,20030925090000,20240827165732,,39,3
제부도해수욕장,경기도 화성시 서신면 해안길 260,,,1932056,12,0,,A01,A0101,A01011200,,126.6181483350,37.1644195149,6,20140704224014,20240826161015,,31,31
구영해수욕장,경상남도 거제시 장목면 거제북로,,,126083,12,0,,A01,A0101,A01011200,,128.6910133258,35.0312133979,6,20030707090000,20240808153906,,36,1
구조라해수욕장,경상남도 거제시 일운면 거제대로 2056,,,583071,12,0,,A01,A0101,A01011200,,128.6922330595,34.8079772705,6,20080704023917,20240808152751,,36,1
의항해수욕장,충청남도 태안군 소원면 의항리,,,125840,12,0,,A01,A0101,A01011200,,126.1602656179,36.8278283286,6,20030701090000,20240805112942,,34,14
백리포해수욕장,충청남도 태안군 백리포길 39-4,,,1626917,12,0,,A01,A0101,A01011200,,126.1558775258,36.8126744500,6,20120510033425,20240805112905,,34,14
대진 해수욕장,강원특별자치도 동해시 망상동 1-3,,,2774430,12,0,(망상동),A01,A0101,A01011200,,129.1092223282,37.5815397106,6,20211115234313,20240731070052,,32,3
오시아노해수욕장,전라남도 해남군 화원면 시아로 552,,,3077071,12,,,A01,A0101,A01011200,,126.2600412997,34.6681957085,6,20231201120508,20240729175830,,38,23
월포해수욕장,경상북도 포항시 북구 청하면 해안로2308번길,,,126090,12,0,,A01,A0101,A01011200,,129.3710516047,36.2023274798,6,20040210090000,20240724142729,,35,23
장경리해수욕장,인천광역시 옹진군 영흥면 영흥로757번길 6,,,128997,12,0,,A01,A0101,A01011200,,126.4499273546,37.2726568075,6,20060613090000,20240717211023,,2,9
