콘텐츠제목,주소,대표이미지(원본),대표이미지(썸네일),콘텐츠ID,콘텐츠타입ID,교과서속여행지,상세주소,대분류,중분류,소분류,저작권유형,GPSX좌표,GPSY좌표 ,MAP레벨,등록일,수정일,전화번호,지역코드,시군구코드
황성금리해수욕장,전라남도 신안군 신의면 하태서리 산151-1,,,2723774,12,0,,A01,A0101,A01011200,,126.0559791321,34.5345491127,6,20210629231325,20250404140047,,38,12
사량도 대항해수욕장,경상남도 통영시 사량면 금평리,,,2723514,12,0,545-1,A01,A0101,A01011200,,128.2135208308,34.8510361215,6,20210625222532,20250404135054,,36,17
금장해수욕장,전라남도 고흥군 금산면 금장길 78-4,,,2723794,12,0,,A01,A0101,A01011200,,127.1635786247,34.4349812203,,20210629235123,20250331104644,,38,2
설레미해수욕장,전라남도 신안군 증도면 우전리 산37-6,,,2723780,12,0,,A01,A0101,A01011200,,126.1344426331,34.9614245008,6,20210629233148,20250328135314,,38,12
하나개해수욕장,인천광역시 중구 하나개로 150 (무의동),,,129254,12,0,,A01,A0101,A01011200,,126.4102556957,37.3844625784,6,20060926090000,20250328105846,,2,10
달산포해수욕장,충청남도 태안군 남면 달산리 1211-10,,,2758237,12,0,,A01,A0101,A01011200,,126.2938995371,36.6619164197,6,20211018234209,20250328101019,,34,14
수문해수욕장,전라남도 장흥군 안양면 수문용곡로 194,,,126295,12,0,,A01,A0101,A01011200,,127.0355099313,34.6356427168,6,20040128090000,20250327170828,,38,20
대천해수욕장스카이바이크,충청남도 보령시 해수욕장10길 75,,,2750944,28,,,A03,A0302,A03022700,,126.5066115021,36.3206259636,6,20210929012848,20250327110626,,34,5
오봉산해수욕장,충청남도 보령시 오천면 원산도7길 12,,,2750440,12,0,,A01,A0101,A01011200,,126.4078968145,36.3725044372,6,20210928191855,20250327100336,,34,5
외달도 해수욕장,전라남도 목포시 외달도길 47-17,,,2388283,12,0,(달동),A01,A0101,A01011200,,126.2941828235,34.7806419384,6,20160615183437,20250326105107,,38,8
짱뚱어해수욕장,전라남도 신안군 증도면 대초리 1609-4,,,2723802,12,0,,A01,A0101,A01011200,,126.1349724449,34.9904545628,6,20210630000849,20250326103841,,38,12
솔개해수욕장,울산광역시 울주군 서생면 진하리,,,2788450,12,0,,A01,A0101,A01011200,,129.3464301981,35.3739398574,6,20211208024605,20250326102442,,7,5
안면해수욕장,충청남도 태안군 안면읍 정당리,,,128905,12,0,,A01,A0101,A01011200,,126.3292770956,36.5483051094,6,20060406090000,20250324173258,,34,14
구시포해수욕장,전북특별자치도 고창군 상하면 자룡리,,,126290,12,0,,A01,A0101,A01011200,,126.4362984068,35.4463884377,6,20030919090000,20250319192725,,37,1
기사문해수욕장,강원특별자치도 양양군 현북면 기사문길 8,,,2710823,12,0,(기사문리),A01,A0101,A01011200,,128.7307154940,38.0059498772,6,20210324200645,20250319173306,,32,7
잔교리해수욕장,강원특별자치도 양양군 현북면 동해대로 1080,,,2710829,12,0,(잔교리 4-4),A01,A0101,A01011200,,128.7430981246,37.9925377862,6,20210324201216,20250319172945,,32,7
광진해수욕장,강원특별자치도 양양군 현남면 광진리 234-5,,,2713784,12,0,,A01,A0101,A01011200,,128.7646636970,37.9649858474,6,20210416011635,20250319172211,,32,7
동산포해수욕장,강원특별자치도 양양군 현남면 동산큰길 39,,,2710849,12,0,,A01,A0101,A01011200,,128.7599720145,37.9791563343,6,20210324202924,20250319171910,,32,7
대천해수욕장,충청남도 보령시 머드로 123,,,127866,12,0,,A01,A0101,A01011200,,126.5093475608,36.3132018619,6,20031205090000,20250318215211,041-933-7051,34,5
구름포해수욕장,충청남도 태안군 소원면 구름포길 116,,,128892,12,0,,A01,A0101,A01011200,,126.1530549488,36.8358883858,6,20060405090000,20250318195538,,34,14
광암해수욕장,경상남도 창원시 마산합포구 진동면 광암해안길 117-22,,,2723589,12,0,,A01,A0101,A01011200,,128.5021445677,35.1021881390,6,20210626004018,20250317231946,,36,16
영일대해수욕장,경상북도 포항시 북구 해안로 95,,,127698,12,0,(두호동),A01,A0101,A01011200,,129.3778441128,36.0572634790,6,20040210090000,20250317175152,,35,23
망치몽돌해수욕장,경상남도 거제시 일운면 망치리 120-2,,,2723624,12,0,,A01,A0101,A01011200,,128.6677545045,34.8127707384,6,20210628203243,20250317133536,,36,1
송지호 해수욕장,강원특별자치도 고성군 죽왕면 심층수길 85,,,127874,12,0,(죽왕면),A01,A0101,A01011200,,128.5265071946,38.3315080272,6,20030909090000,20250317125633,,32,2
