콘텐츠제목,주소,대표이미지(원본),대표이미지(썸네일),콘텐츠ID,콘텐츠타입ID,교과서속여행지,상세주소,대분류,중분류,소분류,저작권유형,GPSX좌표,GPSY좌표 ,MAP레벨,등록일,수정일,전화번호,지역코드,시군구코드
초곡해수욕장,강원특별자치도 삼척시 근덕면 초곡2길,http://tong.visitkorea.or.kr/cms/resource/13/3070913_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/13/3070913_image3_1.jpg,127729,12,0,,A01,A0101,A01011200,Type3,129.2861481811,37.3104438286,6,20060407090000,20240614173448,,32,4
화진해수욕장 마을번영회 야영장,경상북도 포항시 북구 송라면 동해대로3218번길 62,http://tong.visitkorea.or.kr/cms/resource/66/2792966_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/66/2792966_image2_1.jpg,2792317,28,,,A03,A0302,A03021700,Type3,129.3721777849,36.2536327967,6,20211211030115,20240613150607,,35,23
북분리해수욕장,강원특별자치도 양양군 현남면 북분리,http://tong.visitkorea.or.kr/cms/resource/15/3076915_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/15/3076915_image3_1.jpg,125682,12,0,산21-1,A01,A0101,A01011200,Type3,128.7500032296,37.9869302382,6,20030710090000,20240613143638,,32,7
십리포해수욕장야영장,인천광역시 옹진군 영흥면 영흥북로 388-1,http://tong.visitkorea.or.kr/cms/resource/39/2743439_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/39/2743439_image2_1.JPG,2743252,28,,,A03,A0302,A03021700,Type3,126.4862876761,37.2819841371,6,20210910194926,20240612130845,,2,9
용두해수욕장숲속야영장,충청남도 보령시 용두욕장2길 40 동백관,http://tong.visitkorea.or.kr/cms/resource/46/2798146_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/46/2798146_image2_1.jpg,2761982,28,,,A03,A0302,A03021700,Type3,126.5487259068,36.2621361675,6,20211026015314,20240612105954,,34,5
통리해수욕장,전라남도 완도군 보길면 중통리,http://tong.visitkorea.or.kr/cms/resource/56/214556_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/56/214556_image3_1.jpg,129547,12,0,,A01,A0101,A01011200,Type3,126.5788031102,34.1581052724,6,20070507090000,20240607103030,,38,18
모사금해수욕장,전라남도 여수시 오천동,http://tong.visitkorea.or.kr/cms/resource/43/3027343_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/43/3027343_image3_1.jpg,128753,12,0,,A01,A0101,A01011200,Type3,127.7557650074,34.7965564174,6,20060124090000,20240607102442,,38,13
안악해수욕장,전라남도 함평군 손불면 월천리 2108,http://tong.visitkorea.or.kr/cms/resource/70/3061170_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/70/3061170_image3_1.jpg,129232,12,0,,A01,A0101,A01011200,Type3,126.3901517263,35.1404695621,6,20060914090000,20240607090727,,38,22
염포해수욕장,전라남도 고흥군 봉래면 외초리,http://tong.visitkorea.or.kr/cms/resource/68/1606668_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/68/1606668_image3_1.jpg,1623658,12,0,,A01,A0101,A01011200,Type3,127.4930388032,34.4318176967,6,20120507185214,20240606154848,,38,2
위도해수욕장,전북특별자치도 부안군 위도면 진리,http://tong.visitkorea.or.kr/cms/resource/03/2720903_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/03/2720903_image3_1.jpg,264528,12,0,,A01,A0101,A01011200,Type3,126.2835969764,35.6042707270,6,20040922220814,20240605161536,,37,6
도초 시목해수욕장,전라남도 신안군 도초면 시목길 219-30,http://tong.visitkorea.or.kr/cms/resource/33/2821533_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/33/2821533_image3_1.jpg,127766,12,0,,A01,A0101,A01011200,Type3,125.9559625347,34.6717209661,6,20030813090000,20240605160027,,38,12
월포해수욕장야영장,경상남도 남해군 남면 남서대로 611-17,http://tong.visitkorea.or.kr/cms/resource/38/2749938_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/38/2749938_image2_1.jpg,2749569,28,,,A03,A0302,A03021700,Type3,127.9050638161,34.7672095250,6,20210927190427,20240605145501,,36,5
망양정해수욕장,경상북도 울진군 근남면 망양정로 1016,http://tong.visitkorea.or.kr/cms/resource/76/3039176_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/76/3039176_image3_1.JPG,126100,12,0,,A01,A0101,A01011200,Type3,129.4125140305,36.9687160298,6,20030704090000,20240605143302,,35,18
